,x,y
open regions,-278.16238,197.04976
super_enhancer,-150.45212,182.97421
FLAG_MEF2D,82.95534,379.19705
TFAP4,421.3192,-34.525707
FLI1,217.76793,191.34808
RUNX1,164.15117,-85.06947
MAX,-50.403763,71.433136
LMO2,-149.90895,35.49083
PLAGL2,323.62823,-171.78693
FOSL2,292.42365,29.918064
SP1,-154.56209,-53.205368
RXRA,397.91318,-11.9894705
LYL1,164.24965,-146.3797
FLAG_GFI1,238.8214,-90.72888
HOXA9,47.823925,-135.8803
STAT5B,-162.47363,-167.07004
MEIS1,72.939,-94.46433
ETV6,246.15991,219.57944
ZNF281,113.953125,398.3193
MYC,-81.04231,84.444855
RUNX2,133.5256,-71.011
SPI1,44.77759,236.34401
ZMYND8,51.273926,73.3462
IRF8,31.54372,265.073
ZEB2,7.940301,88.69881
GATA2,163.75438,-194.07446
E2F3,-89.208626,-67.23967
MYB,134.00023,2.444022
SREBF1,138.1693,239.59344
CEBPA,173.40125,-300.94928
MEF2C,31.551943,391.46057
MLL_KTM2A,-500.36603,37.841522
MYBL2,247.61777,99.62235
POLII,-18.701443,-24.392677
PSER2,-273.91617,-309.5
RARA,359.18137,14.714829
cohesin,-54.611195,-232.00188
WDR5,-144.86,96.15858
JUND,240.36833,50.790466
LDB1,-1030.7526,164.49084
mediator,-20.114557,27.425484
IKZF1,20.429358,145.26674
FOXP1,101.8657,-31.029642
GSE1,3467.9229,-322.13547
AFF4,-92.69677,255.707
BRD4,-88.710464,160.11458
CDK13,465.34464,159.6435
IRF2BP2,115.25056,81.19679
CDK9,-74.444695,205.18678
CEBPB,201.8713,-317.67075
CTCF,-71.13511,-205.15546
ELF2,-83.06602,24.085014
H3K18,-284.70865,-32.598866
H3K27ac,-299.98703,8.116774
H3K27me3,-148.59094,-278.91724
H3K36me2,-336.4624,-52.727764
H3K36me3,-303.78302,-296.11798
H3K4me1,-493.02805,-53.054375
H3K4me3,-211.24673,-34.763687
H3K79me2,-241.4585,44.15864
H3K9ac,-239.48853,-11.494002
promoter,-218.26027,-88.21473
